Frame,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz
430200,-0.0960564,0.8782889,0.1270439,-0.4508233,-69.796,-3.24,4.805,0.0107896,0.6654551,0.7462065,0.0151332,-83.621,-7.346,-52.131,0.6846338,-0.6644672,0.1675719,0.2483537,46.984,4.862,-377.103,0.0466567,0.44971,-0.8916881,-0.0218261,-177.685,27.907,171.806
430208,-0.0958368,0.8781652,0.127109,-0.4510925,-69.85,-3.2,4.761,0.0107431,0.6652141,0.7464303,0.014716,-83.705,-7.433,-52.25,0.6848248,-0.6643498,0.1673054,0.2483206,47.044,4.964,-377.129,0.0468177,0.4499263,-0.891578,-0.0215216,-177.722,27.843,171.768
430216,-0.0953414,0.8782261,0.1269728,-0.4511174,-69.798,-3.09,4.79,0.0110264,0.6649952,0.7466289,0.01432,-83.608,-7.346,-52.231,0.6851754,-0.6639591,0.1674591,0.248295,47.008,4.958,-376.998,0.0471301,0.4501901,-0.8914266,-0.0215927,-177.717,28.131,171.78
430224,-0.0956454,0.8782611,0.1268651,-0.4510151,-69.795,-3.159,4.794,0.0108193,0.6650403,0.7465886,0.0144844,-83.539,-7.364,-52.285,0.6849456,-0.6641071,0.1674169,0.2485614,46.945,5.027,-377.052,0.0466198,0.4502459,-0.8914148,-0.0220212,-177.745,27.992,171.872
430232,-0.0958724,0.8781562,0.1270677,-0.4511142,-69.846,-3.197,4.784,0.0103843,0.6649858,0.7466449,0.0144014,-83.644,-7.513,-52.365,0.684864,-0.6642942,0.166898,0.2486354,47.038,5.157,-377.194,0.0463056,0.4503224,-0.8913853,-0.0223114,-177.726,27.704,172.019
430240,-0.0953621,0.8780563,0.1271044,-0.4514063,-69.902,-3.091,4.745,0.0102753,0.6643994,0.7471739,0.0141088,-83.806,-7.494,-52.399,0.6850973,-0.6642997,0.1664504,0.2482778,47.217,5.181,-377.16,0.0466256,0.4508579,-0.8910955,-0.0224071,-177.841,27.669,172.033
430248,-0.0951501,0.8781218,0.126831,-0.4514005,-69.919,-3.051,4.721,0.0101216,0.6640105,0.7475196,0.0142112,-83.892,-7.371,-52.436,0.6850192,-0.6644572,0.1663166,0.2481616,47.272,5.188,-377.1,0.0465439,0.4513195,-0.8908426,-0.0233206,-177.932,27.666,172.127
430256,-0.0954211,0.878227,0.1264785,-0.4512376,-69.871,-3.05,4.728,0.009762,0.6643193,0.7472424,0.0146071,-83.861,-7.342,-52.463,0.6846956,-0.6647418,0.1662096,0.248364,47.241,5.262,-377.101,0.0461815,0.4511989,-0.8909107,-0.0237677,-177.866,27.561,172.156
430264,-0.0956849,0.8781749,0.126901,-0.4511645,-69.946,-3.024,4.725,0.0093184,0.6639563,0.7475643,0.0149306,-84,-7.381,-52.509,0.6844031,-0.6652753,0.1656206,0.248135,47.428,5.295,-377.163,0.0459401,0.4516968,-0.890644,-0.0247547,-178.019,27.263,172.266
430272,-0.0957077,0.8782283,0.1268386,-0.4510732,-70.033,-2.972,4.732,0.0090119,0.663942,0.7475694,0.0154858,-84.108,-7.365,-52.458,0.6840294,-0.6658379,0.1653797,0.2478171,47.583,5.177,-377.232,0.0456688,0.4519942,-0.8904915,-0.0253087,-178.214,27.011,172.32
430280,-0.0954092,0.8783645,0.1264932,-0.4509683,-70.068,-2.887,4.764,0.008933,0.6635608,0.7479035,0.0157362,-84.153,-7.15,-52.449,0.6838826,-0.6660625,0.1654031,0.2476028,47.631,5.09,-377.139,0.0455639,0.4522849,-0.8903193,-0.0263398,-178.308,27.02,172.399
